order_id,product_id,add_to_cart_order,reordered
225738,21709,5,1
714870,14766,31,1
964267,47728,8,0
2727806,33381,7,0
2492276,29311,16,1
999947,38313,8,1
762555,27730,44,0
1373080,46667,9,1
2793614,3599,16,1
2085205,16091,4,0
2959744,39783,2,1
1717052,45066,14,0
1692153,39721,5,1
2402795,3033,3,0
1372738,41111,11,0
2502952,44142,12,0
2997973,28204,2,1
3111315,11130,17,0
1477634,46572,11,0
2843154,47766,3,1
2961565,23543,25,1
3355190,47766,13,1
381014,38311,20,1
380367,45064,6,0
1692390,12863,1,1
397202,5124,3,0
1830184,33055,12,0
2357254,48679,21,1
1452950,18725,9,1
2415063,5097,5,0
993228,16398,11,1
1902367,40396,3,1
1230637,30850,1,1
1929072,22935,13,1
2017938,2228,8,0
717206,45161,1,1
3103353,35842,4,1
2707920,20711,6,0
2657325,29941,2,0
2553904,29987,20,0
187254,49098,12,0
865681,26165,3,1
2651692,21903,6,1
3375113,10374,30,0
732430,43073,14,1
2997676,49628,5,0
3046148,15591,4,1
2842797,45603,1,1
1320499,21137,1,1
3185851,48165,19,0
876833,8424,5,1
1632162,41729,19,1
1192051,36216,8,0
2993561,37825,3,0
382448,13629,6,1
131048,10036,7,1
3033590,31343,11,0
455943,13198,1,0
3396490,6615,19,0
647772,1194,1,0
622878,30290,5,1
2010620,6042,13,0
3331477,1263,21,0
1741222,21170,20,0
1372299,21903,7,1
2543574,43961,22,1
1694434,24852,1,1
1500964,8021,6,1
1662085,23106,6,1
3176770,34878,6,0
2866757,34969,3,0
1714739,28286,20,0
2160730,13176,4,0
1916299,14852,6,0
2472014,27949,2,0
2992275,40174,8,1
1302142,19691,9,0
1305015,41043,8,0
3253889,38526,20,0
2642503,19003,3,0
492489,12157,20,1
2063311,13575,3,1
797499,33754,3,0
3101477,47402,4,0
1367405,27336,10,1
2072597,33787,6,1
1521672,21137,7,1
1093490,37710,2,1
1282460,45570,11,1
2489175,33731,1,1
1937217,28204,9,0
137866,14267,2,1
2398131,432,6,1
1022865,49111,8,0
2816569,40706,1,0
1313593,7010,15,1
2453205,36685,5,1
284446,13176,27,1
616702,25890,1,1
534651,46206,6,1
1512622,27086,1,1
1387143,310,3,1
112798,903,20,0
2606554,6184,1,1
146587,12341,5,1
670256,8638,9,0
1560124,45223,2,1
1043882,3798,2,0
1550978,9766,16,0
2960753,30483,6,0
1199146,38293,12,0
2182823,29079,27,0
2419647,25630,20,1
3391608,39578,5,0
3221367,30949,4,1
2319333,8021,11,1
3343423,16953,20,0
338915,41950,6,0
1422087,34243,16,0
3316899,34584,20,0
1418527,44142,9,0
2060793,12409,2,1
1892849,25010,5,0
2881270,2846,9,1
2315320,26800,6,1
566699,48104,6,1
734613,8518,17,0
2645759,43154,2,1
1904308,26209,3,1
36920,42719,9,0
3088919,21903,6,0
1167188,37029,2,0
3002516,14766,5,1
2330202,28946,5,0
2335570,28156,13,0
3188578,21614,5,1
2377339,46971,3,0
2076511,5077,2,1
1633009,3880,4,1
406702,49383,8,1
1182950,30117,19,1
748758,30619,6,0
449565,7781,6,1
174460,4605,24,1
1730295,18828,11,1
707117,16521,6,0
1563521,41787,1,1
459820,31714,10,0
1126010,38164,8,1
2573112,5479,17,1
2779032,19678,21,1
3335587,45664,7,0
2071445,5646,9,1
224091,44955,37,0
1627217,18880,4,1
1136078,6350,1,0
3282434,32712,11,1
2532390,20754,13,0
766999,47611,2,1
2142812,36149,4,1
1402597,48171,2,0
2506323,22035,3,1
3347384,4605,13,1
324199,27147,4,0
1027676,21903,6,1
50796,16965,1,1
94257,22228,3,0
952460,11182,12,0
1214098,2447,13,0
479893,49294,18,1
132374,38797,2,0
1511663,1940,2,1
2991068,43789,8,1
1086420,47966,10,0
1069986,39094,9,1
1852411,7948,9,1
2319702,23586,20,0
268585,45368,1,1
848866,48679,12,0
